file_id,hsa-mir-100,hsa-mir-1-1,hsa-let-7e,hsa-let-7g,hsa-let-7d,hsa-mir-103a-2,hsa-mir-101-2,hsa-let-7a-2,hsa-let-7b,hsa-mir-1-2,hsa-let-7f-1,hsa-let-7c,hsa-mir-103b-2,hsa-let-7f-2,hsa-mir-101-1,hsa-let-7i,hsa-mir-103a-1,hsa-mir-103b-1,hsa-let-7a-1,hsa-let-7a-3,label
322badf4-b70d-4f90-ac44-d2f30e52f03c,2668,18,2486,1120,1531,11800,19214,24338,59308,15,8373,7817,0,8475,19060,1189,11839,0,24975,24666,1
28665a83-f3fe-4ebc-a421-2ab1b40ec796,4900,37,3857,2088,827,7272,5326,25863,11713,50,20577,4299,0,21166,5377,489,7400,0,25972,25854,0
c5e98c47-acf7-4ebd-8674-3938bb4f5db7,21883,2,582,713,751,4215,6360,10165,29127,1,2587,1780,0,2618,6254,1834,4117,0,10172,10071,1
5f8b2637-950b-48ab-85e5-6ea6c3e2c6bd,2924,260,51021,2894,1325,224091,15661,36175,8153,303,13274,1739,0,14049,15691,1008,225176,0,36408,36254,1
3d8bdeaa-ea62-4bb8-89ec-ac38ac193ffc,10232,104,10356,4690,2035,30834,21344,82770,72711,125,64628,17728,0,66190,21333,2023,30716,0,83136,84352,1
484e680f-8d37-4742-af5f-09b082cb7f15,8002,19,1938,932,1329,26113,19017,12901,35817,29,3340,4149,0,3575,18912,1520,26477,0,12928,13278,1
f0c928da-6b49-44fa-ab7f-34d8a2fc7707,2258,0,7110,837,2075,34758,4407,8084,6406,1,6889,807,0,6885,4446,466,34816,0,8161,8393,1
57a181f3-799d-452f-85e6-830cc0e77b15,40370,41,8600,893,2244,10932,11887,38795,107294,60,10480,102667,0,10931,11735,2521,11066,0,38633,39605,1
f2291785-fe10-43bf-a8d3-85decf13c8ac,3225,8,523,465,435,53541,4186,3579,3813,11,4314,695,0,4440,4108,412,53256,0,3529,3566,1
3070a775-abe0-4084-9fea-78c9a68a7eeb,21751,44,20010,2821,4119,77419,21361,58707,26145,31,47639,6607,0,48202,21439,2808,77000,0,58715,58805,1
bb4fd155-a4f6-4932-b9d7-a525e4d79bbd,26599,3,6385,8405,2730,44752,40278,67207,72330,0,34302,27896,0,34634,39646,2768,45071,0,67228,67312,1
bc6c2ac6-31f0-4daf-ab08-6f1785253457,2120,7,725,1361,1363,18869,8022,5117,12139,1,1908,527,0,1963,7906,1390,18908,0,5162,5262,1
3b13fa37-0b72-472f-84b8-e6649c703088,3581,3,2571,1803,1142,65082,12961,34714,31008,3,18799,18583,0,19316,12523,1795,64731,0,34904,35375,1
79e9ffe6-8cd4-4a87-93e1-cc421985b792,11621,38,35236,4009,1750,205062,20754,38532,16040,48,13718,11586,0,14073,20378,1400,205008,0,38709,39019,1
431eede2-2632-466c-8323-f93493513c81,8853,20,963,1438,968,5794,8582,7906,22081,12,2366,1488,0,2406,8491,1003,5723,0,7942,7928,1
d12709fe-887c-47ea-ad8d-d0195fcdd07d,23152,2,890,621,1066,3672,25637,12198,63802,0,2334,9652,0,2220,25745,815,3538,0,12169,12545,1
799922c5-383c-4dd9-9623-344eca6b1069,20806,423,16991,1252,2730,76610,10947,33339,24667,448,13112,8456,0,13243,10876,849,76668,0,32864,34159,1
f45bc4bf-f1ac-4c0b-8d44-a40ea235dbb4,9550,2,1126,682,629,7272,6897,9958,23044,8,4049,1525,0,4061,6886,1773,7330,0,9946,9901,1
b01356aa-d4a5-4175-87ed-bd0e3fc14678,20158,17,4407,2459,4450,18534,38167,34015,75126,33,9832,13245,0,9686,37954,2526,18706,0,34089,34148,1
29388e3e-0012-4ebc-8b03-0845c5d509f1,15248,9,5454,2008,1743,14861,19955,43195,37110,6,27477,7579,0,28271,20128,1332,14920,0,43138,43758,1
f67564ad-4d86-4593-9af3-f02cfc1827d9,242,6,10171,722,668,50425,9664,6631,1455,9,5857,960,0,6135,9752,293,50403,0,6549,6614,1
4347ffda-bafd-4e54-9f30-793a85a50345,17791,1,6132,5732,2704,13285,87972,56012,59693,2,25379,5316,0,25717,88052,849,13082,0,55946,55449,1
0b593325-ea7e-4957-a7b2-5dfc9dff6954,155568,71,9989,5716,14183,115479,42739,77200,38106,66,49119,14140,0,49715,42065,3841,114668,0,76775,76719,1
34012c8d-e757-4be4-bac7-0c25ad2d4706,26639,6,3569,3403,2464,67804,55832,42897,82597,8,16035,15771,0,16232,55583,3332,68120,0,42956,42978,1
f7689c85-9298-4856-890a-cf2f37557ab9,11216,47,9109,3550,1643,16298,8795,50961,35181,52,30692,9516,0,31079,8690,931,16280,0,51056,51362,0
ff62375c-af23-405e-a107-4299818ad323,4821,10,1739,1327,1492,10399,7226,8941,26393,6,2632,3894,0,2737,7057,1438,10538,0,8878,9149,1
b7b5dcc0-7a9e-487c-b609-b577768ab941,8047,34,5583,2871,1051,12734,10657,23772,13997,32,20220,4169,0,20812,10515,598,12636,0,23887,24135,0
7f4aba9a-e5df-401c-bbca-6a244046ec34,20539,8,5614,2331,2165,10988,18008,31534,32011,10,12558,4987,0,12740,17747,773,10807,0,31060,31208,1
c0ccb197-4586-4ddf-a824-b13dcdaf2f37,23389,2,2610,1407,2077,41534,43515,16901,44263,4,4880,10211,0,4914,42820,2796,41090,0,16909,17226,1
0604e2f9-0054-41c2-8594-a59ebec039bd,26514,9,1517,845,1382,7453,9997,9752,37264,9,2046,3068,0,2087,10037,954,7226,0,9780,9723,1
97ae0699-a9dd-49a1-8f39-d680e6100234,2466,1,6943,979,2511,34835,3737,8658,8072,1,7843,2018,0,7972,3769,615,35528,0,8715,8686,1
ec8c7486-1d0a-4748-9d28-8156a177c174,25757,9,13494,6318,1453,50891,41152,28876,4895,12,35845,2185,0,35968,40742,1653,50597,0,28881,28728,1
c0e8084c-9b08-4102-bab8-06e3b75a7506,79965,31,11479,4913,3189,30342,84666,71702,55210,17,43226,1847,0,43968,83380,2012,30459,0,71733,71078,1
0e6d726e-f158-45fc-93b6-4421c0c9d045,10289,2,4654,883,552,34983,9018,8071,4485,5,2612,1387,0,2624,8826,976,34763,0,8095,8532,1
fd873feb-0bf8-4ce0-8942-798cc9993fe5,7873,22,4385,2871,1111,14686,15236,28973,31967,22,20613,5478,0,21124,15052,1524,14854,0,28710,28330,1
256f97c7-bac1-440b-9153-d0cad9f6f203,3590,9,1265,1028,308,6431,3530,8501,11851,10,6739,846,0,7052,3572,596,6278,0,8465,8403,1
6fcd6f9a-00c1-4ee7-bbfd-d3d5491e4a80,7497,27,3161,1175,1512,10942,24727,23547,54062,17,8711,7185,0,8752,24706,1038,10972,0,23718,23918,1
9726f193-c757-4e79-8d97-37fc09d1cc2e,1327,0,1310,617,1349,31870,13435,9250,20152,5,3439,1321,0,3539,13261,876,31957,0,9240,9262,1
23a7aa8f-5720-403d-99b6-3ff774ec4758,618,34,2732,119,120,597432,81005,11806,351,42,1107,3888,0,1198,79948,239,596307,0,11973,11912,3
9cb5cd8c-89df-4b5c-b85f-7ac8581d3308,11705,3,5589,3225,847,21599,30647,21678,19765,1,11868,5162,0,12311,30376,832,21484,0,21483,21226,1
2608a42a-70df-4dd0-8a3c-9dfd684dfd4c,20495,50,5794,2600,1955,21730,48239,35578,41583,44,11357,11286,0,11626,47519,911,22107,0,35414,35822,0
